,Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.,genres
157,A U G U S T,31,Kin,Summit Entertainment,"Jonathan Baker, Josh Baker (director/screenplay); Daniel Casey (screenplay); Myles Truitt, Jack Reynor, Zoë Kravitz, Carrie Coon, Dennis Quaid, James Franco",,[154],Fantasy Adventure Science Fiction Action
158,A U G U S T,31,Destination Wedding,Regatta,"Victor Levin (director/screenplay); Winona Ryder, Keanu Reeves",,[155],Romance Comedy Drama
159,A U G U S T,31,Reprisal,Highland Film Group / Lionsgate Premiere,"Brian A. Miller (director); Bryce Hammons (screenplay); Bruce Willis, Frank Grillo, Johnathon Schaech, Olivia Culpo",,[156],Action Thriller Crime
160,S E P T E M B E R,7,The Nun,Warner Bros. Pictures / New Line Cinema,"Corin Hardy (director); Gary Dauberman (screenplay); Demián Bichir, Taissa Farmiga, Jonas Bloquet, Charlotte Hope, Ingrid Bisu, Bonnie Aarons",,[157],Horror Mystery Thriller
161,S E P T E M B E R,7,Peppermint,STX Entertainment / Lakeshore Entertainment,"Pierre Morel (director); Chad St. John (screenplay); Jennifer Garner, John Ortiz, Juan Pablo Raba, John Gallagher Jr., Annie Ilonzeh, Richard Cabral",,[158],Action Thriller
162,S E P T E M B E R,14,The Predator,20th Century Fox / TSG Entertainment,"Shane Black (director/screenplay); Fred Dekker (screenplay); Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key, Olivia Munn, Thomas Jane, Alfie Allen, Sterling K. Brown",,[159],Science Fiction Action Adventure
163,S E P T E M B E R,14,White Boy Rick,Columbia Pictures,"Yann Demange (director); Logan Miller, Steve Kloves, Noah Miller, Andy Weiss (screenplay); Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie",,[143],Crime Drama
164,S E P T E M B E R,14,A Simple Favor,Lionsgate,"Paul Feig (director/screenplay); Jessica Sharzer (screenplay); Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",,[160],Crime Thriller Mystery Comedy
165,S E P T E M B E R,14,The Children Act,A24,"Richard Eyre (director); Ian McEwan (screenplay); Emma Thompson, Stanley Tucci, Fionn Whitehead",,[161],Drama
166,S E P T E M B E R,14,Lizzie,Saban Films / Roadside Attractions,"Craig William Macneill (director); Bryce Kass (screenplay); Chloë Sevigny, Kristen Stewart, Jay Huguley, Fiona Shaw, Jamey Sheridan, Kim Dickens, Denis O'Hare, Jeff Perry",,[162],Crime Drama Thriller
167,S E P T E M B E R,14,Unbroken: Path to Redemption,Pure Flix,"Harold Cronk (director); Richard Friedenberg, Ken Hixon (screenplay); Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway, Bobby Campo, David DeLuise, David Sakurai, Will Graham",,[163],Drama
168,S E P T E M B E R,20,Hell House LLC II: The Abaddon Hotel,Shudder,"Stephen Cognetti (director/screenplay); Vasile Flutur, Jillian Geurts, Joy Shatz, Dustin Austen, Brian David Tracey",,[164],Horror
169,S E P T E M B E R,21,The House with a Clock in Its Walls,Universal Pictures / Amblin Entertainment / Reliance Entertainment,"Eli Roth (director); Eric Kripke (screenplay); Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan, Renée Elise Goldsberry, Sunny Suljic, Vanessa Anne Williams, Colleen Camp",,[165],Fantasy Family Comedy
170,S E P T E M B E R,21,Life Itself,Amazon Studios / Temple Hill Entertainment,"Dan Fogelman (director/screenplay); Oscar Isaac, Olivia Wilde, Mandy Patinkin, Olivia Cooke, Laia Costa, Annette Bening, Antonio Banderas",,[166],Drama Romance
171,S E P T E M B E R,21,The Sisters Brothers,Annapurna Pictures,"Jacques Audiard (director); Jacques Audiard, Thomas Bidegain (screenplay); John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed",,[167],Drama Western
172,S E P T E M B E R,21,Assassination Nation,Neon,"Sam Levinson (director/screenplay); Odessa Young, Suki Waterhouse, Hari Nef, Abra, Bella Thorne, Bill Skarsgård, Cody Christian, Joel McHale, Maude Apatow, Colman Domingo, Anika Noni Rose",,[168],Thriller Horror Comedy
173,S E P T E M B E R,21,Little Italy,Lionsgate,"Donald Petrie (director); Steve Galluccio (screenplay); Emma Roberts, Hayden Christensen, Alyssa Milano, Gary Basaraba, Linda Kash, Andrew Phung, Cristina Rosato, Danny Aiello, Andrea Martin, Jane Seymour, Martin Roach",,[169],Comedy Romance
174,S E P T E M B E R,21,Colette,Bleecker Street,"Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley, Dominic West",,[170],Drama History
175,S E P T E M B E R,21,Fahrenheit 11/9,Briarcliff / State Run Films,Michael Moore (director/screenplay),,[171],Documentary
176,S E P T E M B E R,21,"Love, Gilda",Magnolia Pictures / Motto Pictures / 3 Faces Films,Lisa Dapolito (director); Gilda Radner,,[172],Documentary
177,S E P T E M B E R,28,Smallfoot,Warner Bros. Pictures / Warner Animation Group,"Karey Kirkpatrick (director/screenplay); Clare Sera (screenplay); Channing Tatum, James Corden, Zendaya, Common, LeBron James, Gina Rodriguez, Danny DeVito, Yara Shahidi, Ely Henry, Jimmy Tatro",,[173],Family Animation Adventure Fantasy
178,S E P T E M B E R,28,Night School,Universal Pictures / Will Packer Productions,"Malcolm D. Lee (director); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",,[174],Comedy
179,S E P T E M B E R,28,The Old Man & the Gun,Fox Searchlight Pictures,"David Lowery (director/screenplay); Robert Redford, Casey Affleck, Danny Glover, Tika Sumpter, Tom Waits, Sissy Spacek",,[175],Comedy Crime Drama
180,S E P T E M B E R,28,Hell Fest,Lionsgate / CBS Films,"Gregory Plotkin (director); William Penick, Chris Sey (screenplay); Bex Taylor-Klaus, Amy Forsyth, Reign Edwards, Christian James, Matt Mercurio, Roby Attal",,[176],Horror Thriller
181,O C T O B E R,5,Venom,Columbia Pictures / Marvel Entertainment,"Ruben Fleischer (director); Jeff Pinkner, Scott Rosenberg, Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott, Jenny Slate",,[177],Science Fiction Action
182,O C T O B E R,5,A Star Is Born,Warner Bros. Pictures / Peters Entertainment,"Bradley Cooper (director/screenplay); Eric Roth, Will Fetters (screenplay); Bradley Cooper, Lady Gaga, Sam Elliott, Dave Chappelle, Andrew Dice Clay, Anthony Ramos, Rafi Gavron, Greg Grunberg",,[178],Music Drama Romance
183,O C T O B E R,5,The Great Buster: A Celebration,Cohen Media Group,Peter Bogdanovich (director),,[179],Documentary Comedy
184,O C T O B E R,12,First Man,Universal Pictures / DreamWorks Pictures / Amblin Entertainment,"Damien Chazelle (director); Josh Singer (screenplay); Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Ciaran Hinds, Christopher Abbott, Patrick Fugit, Lukas Haas",,[180],History Drama
185,O C T O B E R,12,Bad Times at the El Royale,20th Century Fox,"Drew Goddard (director/screenplay); Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm, Cailee Spaeny, Lewis Pullman, Nick Offerman, Chris Hemsworth",,[181],Thriller Drama Mystery Crime
186,O C T O B E R,12,Goosebumps 2: Haunted Halloween,Columbia Pictures / Sony Pictures Animation / Original Film / Scholastic Entertainment,"Ari Sandel (director); Rob Lieber (screenplay); Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong, Jack Black",,[182],Adventure Comedy Fantasy Family Horror
