director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Will Gluck, James Corden, Margot Robbie, Margot Robbie,Animation Adventure Family,peter rabbit, James Corden  Margot Robbie  Margot Robbie Will Gluck Animation Adventure Family
R. Balki, Radhika Apte,R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar,R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar,Comedy Drama,pad man, Radhika Apte R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar R. Balki Comedy Drama
James Foley, Marcia Gay Harden, Jennifer Ehle, Jennifer Ehle,Drama Romance,fifty shades freed, Marcia Gay Harden  Jennifer Ehle  Jennifer Ehle James Foley Drama Romance
Clint Eastwood, Spencer Stone, Alek Skarlatos, Alek Skarlatos,Drama Thriller,the 15:17 to paris, Spencer Stone  Alek Skarlatos  Alek Skarlatos Clint Eastwood Drama Thriller
Brian Crano, Jason Sudeikis, David Joseph Craig, David Joseph Craig,Comedy Romance Drama,permission, Jason Sudeikis  David Joseph Craig  David Joseph Craig Brian Crano Comedy Romance Drama
Alex Ross Perry, Analeigh Tipton, Chloë Sevigny, Chloë Sevigny,Drama,golden exits, Analeigh Tipton  Chloë Sevigny  Chloë Sevigny Alex Ross Perry Drama
Ryan Coogler, Andy Serkis, Forest Whitaker, Forest Whitaker,Action Adventure Science Fiction,black panther, Andy Serkis  Forest Whitaker  Forest Whitaker Ryan Coogler Action Adventure Science Fiction
Mark Pellington, Ellen Burstyn, Bruce Dern, Bruce Dern,Drama Crime,nostalgia, Ellen Burstyn  Bruce Dern  Bruce Dern Mark Pellington Drama Crime
Bruce Macdonald, Lindsay Wagner, Rutger Hauer, Rutger Hauer,Action Drama Adventure,samson, Lindsay Wagner  Rutger Hauer  Rutger Hauer Bruce Macdonald Action Drama Adventure
"John Francis Daley, Jonathan Goldstein", Kyle Chandler, Michael C. Hall, Michael C. Hall,Mystery Comedy Crime,game night," Kyle Chandler  Michael C. Hall  Michael C. Hall John Francis Daley, Jonathan Goldstein Mystery Comedy Crime"
Alex Garland, Oscar Isaac, Tuva Novotny, Tuva Novotny,Science Fiction Horror,annihilation, Oscar Isaac  Tuva Novotny  Tuva Novotny Alex Garland Science Fiction Horror
Michael Sucsy, Maria Bello, Debby Ryan, Debby Ryan,Romance Fantasy,every day, Maria Bello  Debby Ryan  Debby Ryan Michael Sucsy Romance Fantasy
David Freyne, Tom Vaughan-Lawlor, Sam Keeley, Sam Keeley,Horror Drama Science Fiction,the cured, Tom Vaughan-Lawlor  Sam Keeley  Sam Keeley David Freyne Horror Drama Science Fiction
Francis Lawrence, Jeremy Irons, Matthias Schoenaerts, Matthias Schoenaerts,Thriller Mystery,red sparrow, Jeremy Irons  Matthias Schoenaerts  Matthias Schoenaerts Francis Lawrence Thriller Mystery
Eli Roth, Kimberly Elise, Dean Norris, Dean Norris,Action Crime Drama Thriller,death wish, Kimberly Elise  Dean Norris  Dean Norris Eli Roth Action Crime Drama Thriller
Shawn Christensen, Kyle Chandler, Nathan Lane, Nathan Lane,Drama Mystery Romance,the vanishing of sidney hall, Kyle Chandler  Nathan Lane  Nathan Lane Shawn Christensen Drama Mystery Romance
Usher Morgan, Yaron Urbas, Emil Ferzola, Emil Ferzola,Thriller Action Crime Drama Mystery,pickings, Yaron Urbas  Emil Ferzola  Emil Ferzola Usher Morgan Thriller Action Crime Drama Mystery
Ava DuVernay, Chris Pine, Zach Galifianakis, Zach Galifianakis,Adventure Science Fiction Family Fantasy,a wrinkle in time, Chris Pine  Zach Galifianakis  Zach Galifianakis Ava DuVernay Adventure Science Fiction Family Fantasy
Nash Edgerton, Sharlto Copley, Thandiwe Newton, Thandiwe Newton,Comedy Action Crime,gringo, Sharlto Copley  Thandiwe Newton  Thandiwe Newton Nash Edgerton Comedy Action Crime
