director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
christian alvart,bradley cooper,callum rennie,vanesa tomasino,horror mystery thriller,case 39 ,bradley cooper callum rennie vanesa tomasino christian alvart horror mystery thriller
e. elias merhige,harry lennix,kevin chamberlin,william mapother,crime drama mystery thriller,suspect zero ,harry lennix kevin chamberlin william mapother e. elias merhige crime drama mystery thriller
menno meyjes,oliver platt,richard schiff,sophie okonedo,comedy drama family,martian child ,oliver platt richard schiff sophie okonedo menno meyjes comedy drama family
robert rodriguez,alexa penavega,joel mchale,daryl sabara,action adventure comedy family sci-fi,spy kids: all the time in the world in 4d ,alexa penavega joel mchale daryl sabara robert rodriguez action adventure comedy family sci-fi
jodie foster,julia roberts,jack o'connell,chris bauer,crime drama thriller,money monster ,julia roberts jack o'connell chris bauer jodie foster crime drama thriller
ronny yu,meat loaf,junix inocian,paul barber,action comedy crime thriller,formula 51 ,meat loaf junix inocian paul barber ronny yu action comedy crime thriller
joel schumacher,robert de niro,philip seymour hoffman,chris bauer,comedy crime drama,flawless ,robert de niro philip seymour hoffman chris bauer joel schumacher comedy crime drama
renny harlin,ll cool j,clifton collins jr.,eion bailey,crime horror mystery thriller,mindhunters ,ll cool j clifton collins jr. eion bailey renny harlin crime horror mystery thriller
barry levinson,robert de niro,robin wright,kristen stewart,comedy drama,what just happened ,robert de niro robin wright kristen stewart barry levinson comedy drama
norman jewison,charlotte rampling,colin salmon,john neville,drama thriller,the statement ,charlotte rampling colin salmon john neville norman jewison drama thriller
kenneth branagh,kim-marie woodhouse,amy carson,joseph kaiser,drama musical romance,the magic flute ,kim-marie woodhouse amy carson joseph kaiser kenneth branagh drama musical romance
steve carr,erick avari,adhir kalyan,allen covert,action comedy crime,paul blart: mall cop ,erick avari adhir kalyan allen covert steve carr action comedy crime
mark waters,jamie lee curtis,julie gonzalo,willie garson,comedy family fantasy music romance,freaky friday ,jamie lee curtis julie gonzalo willie garson mark waters comedy family fantasy music romance
judd apatow,steve carell,romany malco,gerry bednob,comedy romance,the 40-year-old virgin ,steve carell romany malco gerry bednob judd apatow comedy romance
john madden,tom wilkinson,martin clunes,simon callow,comedy drama romance,shakespeare in love ,tom wilkinson martin clunes simon callow john madden comedy drama romance
scott frank,liam neeson,boyd holbrook,david harbour,crime drama mystery thriller,a walk among the tombstones ,liam neeson boyd holbrook david harbour scott frank crime drama mystery thriller
ivan reitman,richard tyson,cathy moriarty,penelope ann miller,action comedy crime,kindergarten cop ,richard tyson cathy moriarty penelope ann miller ivan reitman action comedy crime
david gordon green,james franco,gary cole,rosie perez,action comedy crime,pineapple express ,james franco gary cole rosie perez david gordon green action comedy crime
andy tennant,anjelica huston,dougray scott,jeanne moreau,comedy drama romance,ever after: a cinderella story ,anjelica huston dougray scott jeanne moreau andy tennant comedy drama romance
kevin costner,robert duvall,michael jeter,julian richings,drama romance western,open range ,robert duvall michael jeter julian richings kevin costner drama romance western
joel schumacher,julia roberts,oliver platt,hope davis,drama horror sci-fi thriller,flatliners ,julia roberts oliver platt hope davis joel schumacher drama horror sci-fi thriller
unknown,rob mcelhenney,kaitlin olson,glenn howerton,comedy,it's always sunny in philadelphia             ,rob mcelhenney kaitlin olson glenn howerton unknown comedy
richard attenborough,ryan o'neal,dirk bogarde,wolfgang preiss,drama history war,a bridge too far ,ryan o'neal dirk bogarde wolfgang preiss richard attenborough drama history war
wes craven,robert pine,carl gilliard,suzie plakson,mystery thriller,red eye ,robert pine carl gilliard suzie plakson wes craven mystery thriller
david r. ellis,sarah carter,michael landes,keegan connor tracy,horror thriller,final destination 2 ,sarah carter michael landes keegan connor tracy david r. ellis horror thriller
joel coen,holly hunter,tim blake nelson,daniel von bargen,adventure comedy crime music,"o brother, where art thou? ",holly hunter tim blake nelson daniel von bargen joel coen adventure comedy crime music
scott stewart,dennis quaid,kate walsh,charles s. dutton,action fantasy horror,legion ,dennis quaid kate walsh charles s. dutton scott stewart action fantasy horror
michael bay,dwayne johnson,larry hankin,michael rispoli,comedy crime drama,pain & gain ,dwayne johnson larry hankin michael rispoli michael bay comedy crime drama
paul weitz,scarlett johansson,ty burrell,dennis quaid,comedy drama romance,in good company ,scarlett johansson ty burrell dennis quaid paul weitz comedy drama romance
jonathan frakes,michael biehn,paula garcés,jason george,action adventure comedy sci-fi thriller,clockstoppers ,michael biehn paula garcés jason george jonathan frakes action adventure comedy sci-fi thriller
lawrence kasdan,scott glenn,todd allen,brad leland,action crime drama western,silverado ,scott glenn todd allen brad leland lawrence kasdan action crime drama western
kevin allen,daniel roebuck,frankie muniz,david kelly,action adventure comedy family romance sci-fi,agent cody banks 2: destination london ,daniel roebuck frankie muniz david kelly kevin allen action adventure comedy family romance sci-fi
garry marshall,robert de niro,common,seth meyers,comedy romance,new year's eve ,robert de niro common seth meyers garry marshall comedy romance
michael cristofer,angelina jolie pitt,gregory itzin,jack thompson,drama mystery romance thriller,original sin ,angelina jolie pitt gregory itzin jack thompson michael cristofer drama mystery romance thriller
james mcteigue,pam ferris,dave legeno,kevin mcnally,crime mystery thriller,the raven ,pam ferris dave legeno kevin mcnally james mcteigue crime mystery thriller
donald petrie,rip torn,ray romano,maura tierney,comedy romance,welcome to mooseport ,rip torn ray romano maura tierney donald petrie comedy romance
